FÝRMA;TARÝH;URUN;MÝKTAR;BÝRÝM; BÝRÝM FÝYAT ; TUTAR 
GRENSAN;5.01.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;10;KUTU; ?209,15 ; ?2.091,52 
GRENSAN;5.01.2022;PERFECT CREASE II 0,8*3,0 mm. 25,5 mt.;10;KUTU; ?209,15 ; ?2.091,52 
GRENSAN;5.01.2022;X-PRESS 2,7*1,2*24 mt. TERS PÝLYAJ;10;KUTU; ?373,49 ; ?3.734,85 
GRENSAN;13.01.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;30;KUTU; ?218,99 ; ?6.569,77 
GRENSAN;13.01.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;50;KUTU; ?218,99 ; ?10.949,61 
GRENSAN;31.01.2022;PERFECT CREASE II 0,8*3,0 mm. 25,5 mt.;25;KUTU; ?212,85 ; ?5.321,26 
GRENSAN;31.01.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;25;KUTU; ?212,85 ; ?5.321,26 
GRENSAN;9.02.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;25;KUTU; ?218,30 ; ?5.457,41 
GRENSAN;15.02.2022;X-PRESS 4,0*1,5*15 mt. TERS PÝLYAJ;5;KUTU; ?384,44 ; ?1.922,20 
GRENSAN;15.02.2022;X-PRESS 2,7*1,2*24 mt. TERS PÝLYAJ;5;KUTU; ?384,44 ; ?1.922,20 
GRENSAN;15.02.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;5;KUTU; ?215,29 ; ?1.076,43 
GRENSAN;23.02.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;50;KUTU; ?218,63 ; ?10.931,34 
GRENSAN;23.02.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;25;KUTU; ?218,63 ; ?5.465,67 
GRENSAN;23.02.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;25;KUTU; ?218,63 ; ?5.465,67 
GRENSAN;14.03.2022;PERFECT CREASE II 0,8*3,0 mm. 25,5 mt.;50;KUTU; ?230,02 ; ?11.500,93 
GRENSAN;14.03.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;25;KUTU; ?230,02 ; ?5.750,47 
GRENSAN;14.03.2022;X-PRESS 2,7*1,2*24 mt. TERS PÝLYAJ;5;KUTU; ?410,75 ; ?2.053,74 
GRENSAN;14.03.2022;X-PRESS 4,0*1,5*15 mt. TERS PÝLYAJ;5;KUTU; ?410,75 ; ?2.053,74 
GRENSAN;4.04.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;5;KUTU; ?227,75 ; ?1.138,76 
GRENSAN;4.04.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;50;KUTU; ?227,75 ; ?11.387,60 
GRENSAN;4.04.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;40;KUTU; ?227,75 ; ?9.110,08 
